genename	logL1	k1	BMrate_background	BMrate_specificspecies	logL.multiple	k2	P.chisq
ENSG00000134058	-27.3325026071721	2	0.12052580454295	15.3510194241849	-20.5446445876626	3	0.000229130566676228
ENSG00000134504	-10.3434233496485	2	0.00992915725318854	0.0357622883340466	-10.0598129051967	3	0.45136537926692
ENSG00000143303	-16.5551387382182	2	0.0556576181323703	0.236524618744467	-16.1836237979679	3	0.388692024709792
ENSG00000143870	-31.9883109979839	2	5.54683415760914	10.4683614779266	-31.936080957331	3	0.746541623759477
ENSG00000167325	-19.8197471929191	2	0.193743964460584	1.86633041730777e-05	-19.3275962766443	3	0.321139055719165
ENSG00000134508	-18.8571917280134	2	0.145308174816425	1.41759011266466e-05	-18.32067139395	3	0.300259639575622
ENSG00000131269	-18.5474929768701	2	0.134243343097904	1.29754362090395e-05	-18.0434616109997	3	0.315367396237012
ENSG00000135900	-18.1055712010041	2	0.111249522144734	0.142133282532528	-18.0990516539058	3	0.909088087963198
ENSG00000159267	-18.5956878037308	2	0.142331125233249	1.31553433082497e-05	-18.2482792069751	3	0.404530691725661
ENSG00000166323	-15.9180673707196	2	0.02161744865826	0.42923677076794	-13.6054635558365	3	0.0315054479208527
ENSG00000166326	-19.2212155324641	2	0.132829775810619	0.380192527246848	-19.0514864308595	3	0.560142124339536
ENSG00000152705	-10.2917793166368	2	0.0127983268803212	1.22664489684413e-06	-9.81511411955009	3	0.328873020463822
ENSG00000123064	-17.3426214639351	2	0.102470270837487	0.00798542317987347	-17.1862381305323	3	0.575987389667788
ENSG00000152700	-30.283989975475	2	3.73182407546663	0.000371052260557791	-29.6810493530522	3	0.27214936757769
ENSG00000151418	-6.250034311868	2	0.00195022985446457	0.114060193057149	-5.02054348332891	3	0.116854519412446
ENSG00000198829	-25.7205168267877	2	1.08115935552997	0.000100735014591915	-25.3450905317605	3	0.386206429907002
ENSG00000149483	-19.6180569851701	2	0.192646551776428	1.76182183853905e-05	-19.3077853809316	3	0.430845497929353
ENSG00000132680	-16.7956667459152	2	0.0888297425274728	7.86589458120435e-06	-16.5981125736923	3	0.529626386701689
ENSG00000196704	-30.8843521523114	2	4.35934016697025	4.80666233658944	-30.8833868449376	3	0.96495321804442
ENSG00000136908	-39.4610606315925	2	50.6910160189892	54.421656595701	-39.4605566466021	3	0.974672582687263
ENSG00000178913	-27.8337505230176	2	1.5335604604807	4.65816495992573	-27.6397814550818	3	0.533385200938176
ENSG00000184544	-18.8146569112072	2	0.142732826427044	1.40046667579884e-05	-18.2580721878328	3	0.291394017468451
ENSG00000002549	-31.2847196339088	2	5.36820372907112	1.3654301384075	-31.1978805526831	3	0.676863384424429
ENSG00000163660	-26.9996234849552	2	1.57832134446991	0.39927383961642	-26.9123601659122	3	0.676119780678053
ENSG00000163661	-15.254878785546	2	0.0567469831288209	5.06478220118388e-06	-15.0299290099155	3	0.502382659721172
ENSG00000163666	-12.1078341524272	2	0.019489600270085	0.0309199006752046	-12.0823118817831	3	0.821255560776917
ENSG00000163840	-19.1106549656999	2	0.15593726981458	1.52405782211857e-05	-18.5677794444144	3	0.297414561606082
ENSG00000214827	-21.9073945693752	2	0.288182452274069	0.800058015220061	-21.7491419603008	3	0.573715489187801
ENSG00000188676	-4.07503450959289	2	0.00208668430895803	0.00428151750088319	-3.96979369579469	3	0.64639017091271
ENSG00000182253	-14.8299333951323	2	0.027546116174232	0.204906204489893	-13.9809830245162	3	0.192562743353539
ENSG00000188674	-17.7907125947958	2	0.112401566396613	1.04524362813663e-05	-17.4219020974082	3	0.39042402565258
ENSG00000114279	-6.20813366461466	2	0.00397908920821238	3.81947091306367e-07	-5.70255755286174	3	0.314626960100373
ENSG00000188895	-20.1247139244467	2	0.204054881448556	2.03624521642187e-05	-19.5090686940919	3	0.267156220918097
ENSG00000162139	-7.89551986637314	2	0.00374277477231436	0.0269899103145733	-6.99474651804025	3	0.179525619211635
ENSG00000108666	-17.4486685246873	2	0.0958572759019582	9.47927854857977e-06	-16.8645388575672	3	0.279759189298183
ENSG00000215440	-20.0629175277362	2	0.192417344629322	0.268357086232827	-20.0503993480182	3	0.874276494836918
ENSG00000096872	-19.5430622842969	2	0.174699546107806	1.72447274753563e-05	-18.9654226421585	3	0.282446731227944
ENSG00000119203	-23.4212656370054	2	0.562600287086803	5.22251679781482e-05	-23.0588190033046	3	0.39454350427298
ENSG00000115271	-19.9408707796042	2	0.194090877070229	1.93204865901331e-05	-19.3338594430268	3	0.270536902618484
ENSG00000153113	-34.7679895360425	2	12.9282248799939	17.216948639687	-34.7589054004799	3	0.892778126558006
ENSG00000165672	-31.7561217927749	2	5.68123461101514	0.000565071344915413	-31.1519991721393	3	0.271679926017937
ENSG00000183258	-17.9542549191946	2	0.115620905615768	0.0573415246986157	-17.9212493315861	3	0.797235589945215
ENSG00000171467	-13.6558545360735	2	0.0358394698121894	3.20735646255492e-06	-13.4197203653805	3	0.491945472220994
ENSG00000153071	-34.8659330082969	2	15.1377894260254	2.3343570638818	-34.7438024608113	3	0.621145325207135
ENSG00000177058	-18.0656572348602	2	0.125299456039068	0.0142849164658153	-17.9263768423292	3	0.597646084359549
ENSG00000145029	-22.409870428594	2	0.437920771113082	0.0209654334500253	-22.2379001987087	3	0.557563496874469
ENSG00000272047	-46.1220484556877	2	316.320186870919	578.473080884582	-46.0755061627039	3	0.760291768563845
ENSG00000183255	-36.4577708216705	2	21.6524250610858	21.652106461333	-36.4577707710015	3	0.999746004310405
ENSG00000180044	-19.8479490521535	2	0.168865769232488	0.36252977793327	-19.7681040580056	3	0.689442097439881
ENSG00000172667	-17.5938795393318	2	0.105731517835814	0.0402474377589744	-17.539716074602	3	0.742057001813301
ENSG00000196074	-6.99302644641738	2	0.00483012945757061	4.77964840857818e-07	-6.40598388538137	3	0.278563445104427
ENSG00000157916	-27.875293288134	2	2.06753074110597	0.000186446415855139	-27.6142457503839	3	0.469949348176653
ENSG00000173281	-20.9766957116011	2	0.287374023083765	2.59745177864561e-05	-20.7075754425107	3	0.46316282050907
ENSG00000187824	-24.4613001260815	2	0.134906796194913	5.98974460152931	-20.415360071626	3	0.00444640126204693
ENSG00000011198	-29.7503648713072	2	3.19636912352078	0.000318581582732463	-29.1389691568635	3	0.268813527856516
ENSG00000165410	-38.5528246952984	2	40.1628520604566	0.00393972857403563	-37.9972268555384	3	0.29182218198779
ENSG00000165417	-20.5256003119517	2	0.253018864556393	0.0289199434836691	-20.386461759044	3	0.597832692398856
ENSG00000130733	-16.3387904533216	2	0.056758242745419	0.181039079263679	-16.1233911303854	3	0.511597324904365
ENSG00000174628	-12.3664370426451	2	0.0222634314212354	2.21896765402116e-06	-11.7503727656691	3	0.266993484050824
ENSG00000179604	-25.0524653288951	2	0.845178698075698	8.32311416790003e-05	-24.4831976443591	3	0.285962024227978
ENSG00000112053	-3.12107650346569	2	0.00197590014210768	1.58106010856199e-07	-2.79526480104141	3	0.419532867289222
ENSG00000116005	-37.6508420609336	2	33.3276970437651	6.71008111630873	-37.5465302425634	3	0.647848328740642
ENSG00000146285	-9.18050788357293	2	0.00810710362821119	0.017106344546754	-9.10244480421468	3	0.692748404787922
ENSG00000117751	-28.9003790483028	2	2.01625366426995	6.90851639996371	-28.6510863513937	3	0.480122348156788
ENSG00000122882	-15.1326662296365	2	0.0511630851135424	4.89098279649741e-06	-14.6665895508858	3	0.334304000915249
ENSG00000122557	-26.782566755937	2	0.434828581678586	10.0032433814741	-24.1870171311512	3	0.0227028519034937
ENSG00000254726	-5.28117289645784	2	0.00308280322987492	2.93077230855349e-07	-4.73777208758021	3	0.297180954975974
ENSG00000143333	-21.0979915510563	2	0.269914044581527	2.68904702178411e-05	-20.4880848307025	3	0.269397267456856
ENSG00000158691	-16.6617460718437	2	0.0803999164787548	0.0357526675824745	-16.6202172510834	3	0.773195771489353
ENSG00000119979	-24.8375406133248	2	0.877658628959737	0.0333766092645347	-24.6601630581306	3	0.551433641611787
ENSG00000240857	-18.0103627079177	2	0.111320004240007	1.11294223667157e-05	-17.3880439137506	3	0.264579145786201
ENSG00000128626	-30.0222021029197	2	3.51198458251968	2.84038458094998	-30.0182919306618	3	0.929532762879475
ENSG00000148429	-11.437649660641	2	0.0164604220455149	0.0223561457785477	-11.4270139161366	3	0.884041788706252
ENSG00000104147	-7.24885188394466	2	0.00537962658836513	5.14209184935069e-07	-6.73514300520915	3	0.310765934739576
ENSG00000104140	-6.42712085044685	2	0.00469633997747749	4.06608116128756e-07	-6.25409114870587	3	0.556352327591125
ENSG00000104142	-9.19274022744773	2	0.00555565665264746	0.0394876701887229	-8.32227330905725	3	0.187020546942324
ENSG00000116918	-25.5853544111922	2	1.07360161180925	9.6919005156931e-05	-25.3205622930199	3	0.466781707599569
ENSG00000143624	-20.2301419927869	2	0.228360050080108	0.0561298718843958	-20.1406458612949	3	0.67224070786439
ENSG00000116690	-27.5779133304047	2	0.148778043078122	16.2829108270685	-21.2061820137304	3	0.000357255674412516
ENSG00000159348	-23.7307869706753	2	0.615498341136625	0.193154217075309	-23.6607589110496	3	0.70822522854194
ENSG00000107140	-19.776639825112	2	0.199033593412997	1.84348494029485e-05	-19.4219466767067	3	0.399647621781911
ENSG00000073111	-12.0159364676155	2	0.021856104273352	2.00751782331379e-06	-11.6856450446597	3	0.416354252154256
ENSG00000006042	-19.1293165796604	2	0.155144870301368	0.136357153556424	-19.127809008051	3	0.956209910286304
ENSG00000006047	-7.67419938674738	2	0.00597399617054294	0.00511030025065039	-7.67201364744814	3	0.947284550533235
ENSG00000196950	-19.531325219954	2	0.172601254258271	1.71869947813708e-05	-18.9231317038327	3	0.270070865518147
ENSG00000158966	-17.0052537503668	2	0.0762394049904893	0.149223649759409	-16.9459104784063	3	0.730463427489575
ENSG00000174080	-29.2568461814893	2	2.93146987818361	0.000276683223212058	-28.8362230853357	3	0.359040602293392
ENSG00000137414	-21.8063056586881	2	0.336297026700071	3.29222074165747e-05	-21.2577182314152	3	0.294886942644993
ENSG00000137413	-17.6436492079809	2	0.105250624395839	1.00223437782127e-05	-17.1918081273362	3	0.341796303365758
ENSG00000128567	-27.3008674616018	2	1.59125106686227	0.000158225657852729	-26.6977316521123	3	0.272071777262292
ENSG00000164236	-24.0070821474301	2	0.0859124207022868	5.56691893296928	-19.0233664620115	3	0.0015933362517343
ENSG00000164237	-28.2470082731214	2	2.30129698143861	0.237328483172895	-28.102775504596	3	0.591205532232261
ENSG00000100243	-37.4040338054811	2	30.2803364011244	12.1923408143346	-37.3544753415559	3	0.752891939611236
ENSG00000100711	-34.9977037412927	2	15.1098263975202	0.00142669843350306	-34.5756717213336	3	0.358237034213309
ENSG00000100246	-25.7660052338183	2	0.811206125987422	2.93473115393123	-25.4887954321943	3	0.456517448619465
ENSG00000197579	-19.1559911827055	2	0.164412350321078	0.0692056112635921	-19.1100428320237	3	0.761779599941192
ENSG00000163519	-2.74026923780572	2	0.00142822310513287	0.00141832949225307	-2.74021587130843	3	0.991757068644155
ENSG00000174886	-44.5270943302893	2	228.931113500754	0.021715928260877	-44.0889321481723	3	0.349210386594088
ENSG00000143469	-2.69662027610403	2	0.00177783321691373	1.40049027118012e-07	-2.17501237079982	3	0.307074737129982
ENSG00000144306	-18.6741151238764	2	0.135829841930813	1.34534531819053e-05	-18.0845603469679	3	0.277537347257931
ENSG00000134265	-25.0176830742798	2	0.795554341628102	1.07864745207835	-25.0073364381776	3	0.88561768480906
ENSG00000134262	-11.2847586509458	2	0.0163978946310955	1.62904034771345e-06	-10.683097635619	3	0.272658720960202
ENSG00000156968	-14.6461974577986	2	0.0283232585761018	0.173905122551666	-13.9880752370543	3	0.251267169832601
ENSG00000182827	-27.4777280073218	2	1.66690737248462	0.000166426505836038	-26.8603017337135	3	0.266465404602381
ENSG00000005469	-21.8658329444109	2	0.335028135321665	3.34869299788852e-05	-21.2444916960857	3	0.264954696926885
ENSG00000117533	-28.1333312272905	2	1.83772956163445	3.53467463225525	-28.0774780135319	3	0.738209693573466
ENSG00000205129	-16.7062488494881	2	0.0793983013106094	0.0530902174679808	-16.6935071156389	3	0.87316827470465
ENSG00000064225	-16.8241334752492	2	0.0819424233218153	0.0564125062542568	-16.8130008653211	3	0.881383710208637
ENSG00000127995	-20.8858155908391	2	0.155797450385865	1.15117048146337	-20.0446249210649	3	0.194608328801691
ENSG00000134198	-19.6715562352025	2	0.179084644164405	1.78895903001588e-05	-19.0521970331391	3	0.265718191620484
ENSG00000007312	-15.2293840102992	2	0.050976399342774	5.02802325155441e-06	-14.6546143674074	3	0.283645613994904
ENSG00000100865	-20.9749169715503	2	0.269224441097968	2.59613210412419e-05	-20.4791815239831	3	0.319383140423883
ENSG00000143793	-23.5336926302519	2	0.0854567754211388	4.76489505647597	-18.9300712859622	3	0.00241059497061575
ENSG00000175287	-33.4632090906887	2	9.88775536853847	0.000920292195455224	-33.0915153668533	3	0.38857791394512
ENSG00000041988	-15.7357041959539	2	0.0583849916329101	5.81063479860649e-06	-15.1287925054798	3	0.27057623088198
ENSG00000151348	-16.0487689602137	2	0.0627395975758147	0.0707644797277696	-16.0472826251523	3	0.956519123092926
ENSG00000151612	-10.9542832420333	2	0.0164119314758524	1.48226237459024e-06	-10.6860463847408	3	0.463897818828425
ENSG00000151611	-14.2628312194485	2	0.0392871654479365	3.81472651283363e-06	-13.7417751966397	3	0.307330774255275
ENSG00000151617	-13.4679626471941	2	0.0251509447133576	0.0782554584941013	-13.263511326795	3	0.522527007628702
ENSG00000106459	-16.6102537871342	2	0.0568061095648956	0.237817647853475	-16.2482429781072	3	0.394827905544464
ENSG00000039560	-14.9276336629831	2	0.0504281153429677	0.0107216725724346	-14.8271368921359	3	0.65392008018734
ENSG00000093167	-24.1849386745146	2	0.663189362247606	6.49590358604523e-05	-23.6344639718156	3	0.294057843900815
ENSG00000237441	-23.3078737224131	2	0.367221854753534	1.77677027577996	-22.8473794727164	3	0.337215558406175
ENSG00000134996	-30.8348867469651	2	3.03820043260302	16.3456191402788	-30.2922473060863	3	0.297519628411032
ENSG00000059588	-17.8644607073992	2	0.108132330272071	1.06750153352595e-05	-17.2863244096346	3	0.282239914786113
